f,acf_mae,kurt,kurt_se,ks_pass,ad_pass,w1,hell,hill_alpha,hill_sd
0.0,0.058635355222715735,7.887595310667542,0.0793795316449561,0.9941463414634146,0.9860162601626016,0.0807140998735147,0.07304123381761762,2.858955620343062,0.007426162191747169
0.1,0.05642119757377931,7.768447019335242,0.07183455763960547,0.9877046802900462,0.963847066578774,0.08752705582296945,0.07396981304511768,2.879803557452097,0.007267304225928254
0.2,0.0542099683133338,7.649298728002942,0.06525280507581624,0.9812630191166777,0.9416778729949461,0.09434001177242421,0.07489839227261774,2.8970280395724637,0.007034190912193708
0.25,0.05310435500148679,7.589724582336792,0.06242017099231307,0.9780421885299935,0.9305932762030322,0.09774648974715157,0.07536268188636776,2.903656046891236,0.007006260566017422
0.3,0.0519987416896398,7.530150436670642,0.059952353924817646,0.9748213579433092,0.9195086794111184,0.10115296772187893,0.07582697150011777,2.9085239628570774,0.00744711673074499
0.4,0.049787515065945774,7.411002145338342,0.05629628925488948,0.9683796967699407,0.8973394858272907,0.10796592367133367,0.07675555072761783,2.915481462431028,0.007232137303270553
0.5,0.04758980171106637,7.2918538540060425,0.05461584841868915,0.9619380355965722,0.875170292243463,0.11477887962078842,0.07768412995511789,2.918043555441406,0.007719433648822884
0.6,0.045452114806812466,7.172705562673743,0.05509211272946186,0.9554963744232037,0.8530010986596352,0.12159183557024317,0.07861270918261795,2.9182195338064916,0.00753097237369986
0.7,0.043341382466537216,7.053557271341443,0.057671675399434116,0.9490547132498353,0.8308319050758075,0.12840479151969791,0.079541288410118,2.9178245778115364,0.00707994483677645
0.8,0.041261882243078835,6.934408980009142,0.06209295188376145,0.9426130520764667,0.8086627114919798,0.13521774746915266,0.08046986763761806,2.918947302647897,0.007164424991853087
0.9,0.03919281531249222,6.815260688676842,0.06799763581022501,0.9361713909030983,0.786493517908152,0.14203070341860743,0.0813984468651181,2.9200960984289948,0.007577933571301505
1.0,0.03718271378979842,6.696112397344542,0.07503634819072907,0.9297297297297298,0.7643243243243243,0.14884365936806215,0.08232702609261816,2.922940293261907,0.007800816300546426
