window,seed,ticker,scenario,method,market_jump,asset_jump,n_paths,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,1234,A,off,naive,false,false,250,0.0,0.0,0.7252027654476273,0.1740793765000658,0.10531172002088654,0.06892875345894894,0.02691303453076882,3.985139410366595,1.2338520783311075,1.478560392090948,1.49325860259483,0.02312317447907765,0.02312317447907765,0.14045600387279086,0.0,0.0,0.004248734634851771,0.03193781634128707
training,1234,A,off,hybrid,false,false,250,0.972,0.968,0.168495393719176,0.04044603037836262,0.10466231559796525,0.06872282728720426,0.026995788634678705,4.787664642581488,1.2796036062185847,0.999415705239019,1.01072642385775,0.016723622612018495,0.016723622612018495,0.047231619804573105,0.0,0.0,0.006948662328271873,0.05586261749819239
training,1234,A,market_only,naive,false,false,191,0.0,0.0,0.7260369511215709,0.17427961639009976,0.1055530581719477,0.06890211193830661,0.02605157511446099,3.9716572999407336,1.1701228872745555,1.4790348681021055,1.4956319974443337,0.023433833346413215,0.023433833346413215,0.13991196472967418,0.0,0.0,0.0042229314071769,0.03200607223843758
training,1234,A,market_only,naive,true,false,59,0.0,0.0,0.8524174109684649,0.20461627904521162,0.08066569400186005,0.05192571034288358,0.026651027267807895,4.430459709321196,1.498981728431307,1.6024972425527673,1.6120628792315694,0.01913740146148373,0.01913740146148373,0.0884344064872624,0.0,0.0,0.0035479245560498572,0.02884297216809442
training,1234,A,market_only,hybrid,false,false,191,0.9790575916230366,0.9842931937172775,0.164098816615811,0.03939066567575305,0.10500285135868627,0.06857628426686613,0.02600276890964222,4.694755248405003,1.1652971339178217,1.0025580479309104,1.014916719334628,0.017035174303979314,0.017035174303979314,0.039998037959570965,0.0,0.0,0.006956195841046668,0.05562117409228743
training,1234,A,market_only,hybrid,true,false,59,0.9322033898305084,0.9322033898305084,0.18386870129928315,0.04413627526682074,0.05699862242480486,0.03868258318113305,0.026859371252835627,6.8763326205885145,2.618004527914641,1.0029976973792014,1.0109981119740088,0.012061347727381471,0.012061347727381471,0.1367651584139264,0.0,0.0,0.0066914224787676035,0.05820679681851047
training,1234,A,market_and_assets,naive,false,false,151,0.0,0.0,0.7302781145954026,0.17529767523975665,0.10496824208242395,0.06884644822672441,0.026344929324755496,4.142745143981676,1.3668224348430738,1.4759590875331072,1.4988703638806165,0.022508605889649386,0.022508605889649386,0.14134769100110575,0.0,0.0,0.004182768049111014,0.032341631830218404
training,1234,A,market_and_assets,naive,false,true,40,0.0,0.0,0.9750244831041069,0.2340471688442834,0.0369683574171447,0.03105771727999016,0.027639676352718485,3.718192904207882,1.2339581478298958,1.3820623151862024,1.7216254394155233,0.025354779228485447,0.025354779228485447,0.18732072999389465,0.0,0.0,0.0032086044830079543,0.025515184381778737
training,1234,A,market_and_assets,naive,true,false,51,0.0,0.0,0.849151751768186,0.2038323825344265,0.08358740154580183,0.05362149466983377,0.02583397282736748,4.456173512941571,1.7252034074230074,1.5962795651948334,1.6062225731424042,0.0218104828677842,0.0218104828677842,0.0907069067668431,0.0,0.0,0.003664951157614167,0.029007698524095113
training,1234,A,market_and_assets,naive,true,true,8,0.0,0.0,1.1414173559283984,0.27398850516479323,0.03533997132108741,0.031931615831225946,0.02765232051084365,3.780553154418083,1.6326254266768654,1.4973530787852083,1.8878108861626035,0.02587203159004911,0.02587203159004911,0.13284971233190151,0.0,0.0,0.002937454808387563,0.02232465654374548
training,1234,A,market_and_assets,hybrid,false,false,151,0.9801324503311258,0.9801324503311258,0.1687112872515184,0.04049785396935151,0.1043195716308161,0.06856216756000665,0.026163793647905425,4.853862901020166,1.3649185980882355,0.9996807461272551,1.0165034811037328,0.01626461255746395,0.01626461255746395,0.04140343206598437,0.0,0.0,0.0068643365751581385,0.05570479761340398
training,1234,A,market_and_assets,hybrid,false,true,40,0.525,0.25,0.3998066425501043,0.09597052627446598,0.04501005110557267,0.033482494867636756,0.027336738991121344,3.9191447928683614,1.1159634424554938,1.0026744624353165,1.2519244153260878,0.019932851324176763,0.019932851324176763,0.08792245800858098,0.0,0.0,0.005097613882863342,0.04123282718727405
training,1234,A,market_and_assets,hybrid,true,false,51,0.9607843137254902,0.9215686274509803,0.16948600577604309,0.04068381922505356,0.05982393900753025,0.03980812921349188,0.026163354105969188,6.806988934168484,2.7762030199811645,1.0009429455063605,1.0081786273938516,0.013818446249604644,0.013818446249604644,0.1321652152414165,0.0,0.0,0.007003813817645641,0.058022485928572426
training,1234,A,market_and_assets,hybrid,true,true,8,0.625,0.5,0.38862672020718947,0.09328687143543286,0.035037625812673716,0.030057348146238796,0.0276673757980941,4.584446294506511,1.2495368512247653,1.0011944216234194,1.2721525191719059,0.018372607495702103,0.018372607495702103,0.07279555288493383,0.0,0.0,0.004609544468546637,0.041802241503976864
training,1234,AAL,off,naive,false,false,250,0.016,0.0,0.9233197237532965,0.11806295131138676,0.16421141776081855,0.13728094820709685,0.028852605028935694,9.467486103935853,7.046955610020803,1.2424235052747796,1.3016711985139613,0.039155565226716815,0.039155565226716815,0.04826519230871717,0.0,0.0,0.006446854663774403,0.03581923355025305
training,1234,AAL,off,hybrid,false,false,250,0.868,0.812,0.4204421859515986,0.05376105811698187,0.16426723750160188,0.13729638054272192,0.029061355817743308,8.801779739366445,7.460820335162075,0.9997837095227496,1.049039450006081,0.034142565273334945,0.034142565273334945,0.02864893160216606,0.0,0.0,0.008481561822125809,0.04494577006507588
training,1234,AAL,market_only,naive,false,false,191,0.015706806282722512,0.0,0.9258806507296047,0.11839041165815252,0.1639225061213705,0.1371529187818258,0.02874649937047582,9.621965745055599,7.3492294769020745,1.2391720392086967,1.301871022672317,0.04363389035710096,0.04363389035710096,0.050027232736780856,0.0,0.0,0.006429985652254557,0.0357349717777197
