window,seed,scenario,method,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,1234,off,naive,0.06867139479905442,0.034505910165484655,0.718200299710264,0.14761300832337035,0.13582801302490582,0.09493696638959306,0.03143596616231794,14.041388052446584,24.40158943852379,1.3327688324756106,1.399429134653901,0.02712782492267305,0.02712782492267305,0.08981154492886795,0.0,0.0,0.005906777502568335,0.03426197545678786
training,1234,off,hybrid,0.7288605200945641,0.6771914893617034,0.2896721499651833,0.05726847430832623,0.13565988846012259,0.0948785364217962,0.0314357339552514,13.224745411109913,24.98877325658257,1.0001246461985702,1.0545696344795996,0.022248424158833865,0.022247782697906733,0.03707860347293765,7.565011820330968e-5,0.004728132387706862,0.008011428884000077,0.047433277094882306
training,1234,market_only,naive,0.0643215130023641,0.03245390070921986,0.7439666995393638,0.15294221822246443,0.13222682702395586,0.09227241476291762,0.03131360267769597,13.901829511803797,24.535551983506682,1.350278670511355,1.4175895771890588,0.02665387044405947,0.02665387044405947,0.08241486788524593,0.0,0.0,0.005790471599582228,0.033746701332799986
training,1234,market_only,hybrid,0.7433947990543743,0.6867044917257689,0.2898623508852388,0.05723498855327012,0.1288351617438897,0.08995541210654845,0.03130015531263299,13.138772127345213,25.195814230688953,1.0003755822897236,1.0548226593061103,0.021618578564727365,0.021586853117882093,0.04629366864243638,0.0009550827423167852,0.004728132387706862,0.007975261919047403,0.047412179983555805
training,1234,market_and_assets,naive,0.05365484633569741,0.026033096926713954,0.810482881310564,0.16658403302743913,0.11749528489223456,0.08279330195490132,0.031688716501283354,13.71811166116499,24.58463866392882,1.3351110338041476,1.4742322941001742,0.027425767765958384,0.027425767765958384,0.09028043948604561,0.0,0.0,0.0054446649538725,0.03222142907203138
training,1234,market_and_assets,hybrid,0.6253806146572111,0.5413522458628851,0.3563755006964415,0.07087974851877911,0.1161792588785776,0.0817628451510641,0.03162123009357486,13.001222732965427,25.21157646239665,1.000134889395987,1.1112791120113854,0.022501883509924304,0.02248152928677434,0.0487060629296252,0.0006524822695035461,0.004728132387706862,0.007471833766660002,0.045003615328994925
training,2345,off,naive,0.06929550827423171,0.03350354609929078,0.7196048597825853,0.1478787488631123,0.13587737055183013,0.09495589881454268,0.03138172791409254,13.982180577632842,24.372443998385126,1.333925883086854,1.4010211558443952,0.02719822933362157,0.02719822933362157,0.08910173784769934,0.0,0.0,0.0058666037616515315,0.0341576249254285
training,2345,off,hybrid,0.7471205673758875,0.6916501182033103,0.2881753169378949,0.0569188236120985,0.13572034528523744,0.09489405083824902,0.03137900253194004,13.157194098745821,24.9622594503661,1.0001742365229558,1.0549856681433125,0.022283584684234182,0.022283368750525955,0.035335225125234807,2.8368794326241135e-5,0.004728132387706862,0.007966226160623171,0.04734717585541415
training,2345,market_only,naive,0.06163593380614662,0.03130023640661936,0.748717594484596,0.15390951259702298,0.13182725025090933,0.0919506170736971,0.03135699357690207,13.79043944820261,24.496224534612562,1.3509965336336358,1.41871338199924,0.026641912526326438,0.026641912526326438,0.08182835891362261,0.0,0.0,0.005826430020734725,0.03367278452126378
training,2345,market_only,hybrid,0.7392718676122931,0.6784113475177314,0.292569583673991,0.05776900029346043,0.12820599573421373,0.08951088501585203,0.031384989455558204,12.95129836582655,25.135544319019377,1.0003192624083994,1.055120569175874,0.021601524869658592,0.021556317338122917,0.043946109876444914,0.0010780141843971637,0.004728132387706862,0.00805350345037427,0.047300875713023216
training,2345,market_and_assets,naive,0.051640661938534324,0.025248226950354575,0.8145515236333988,0.16745096997345385,0.11712122525564678,0.08253908168104601,0.031758439869017205,13.685364153868308,24.558367843467543,1.3360960309470267,1.4751293953673643,0.02732611137581414,0.02732611137581414,0.08954383460763517,0.0,0.0,0.005488445476907194,0.03217045891601667
training,2345,market_and_assets,hybrid,0.6164728132387715,0.5322647754137124,0.35869523064309133,0.07136110440544775,0.11560331094478349,0.08140065795260364,0.03172483453173881,12.894711729497153,25.16035390443775,1.0002774152084195,1.1112800498694138,0.022428853093786918,0.02239729941890125,0.04591952610308437,0.0006997635933806149,0.004728132387706862,0.007540444676919502,0.04492686437302676
training,3456,off,naive,0.07063829787234051,0.033692671394799034,0.7163156866346061,0.14723750396325452,0.13585513454589532,0.09490342280646516,0.03143213267619228,14.224046549448046,24.269445705516183,1.3322830008239228,1.3989206135655758,0.027281147649770247,0.027281147649770247,0.08999881092968712,0.0,0.0,0.005916647436193295,0.03429493563346888
