window,seed,rep,scenario,method,n_assets,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,1234,1,off,naive,423,0.08510638297872347,0.03309692671394799,0.7131182892678808,0.14683792547447613,0.1363666376556117,0.09535385362606723,0.030816837179267653,14.102244326550418,23.87458929012719,1.3334370690906472,1.3963770055765699,0.027124340906178376,0.027124340906178376,0.08913929756770397,0.0,0.0,0.00585375609606006,0.034508870803697064
training,1234,1,off,hybrid,423,0.7801418439716322,0.685579196217495,0.2829027600302692,0.0561006794769634,0.13658020700112627,0.09550832446376523,0.030654438599993908,13.222038739449408,24.39083047888849,1.0013493002301852,1.0527171351728222,0.022043898942023788,0.022043898942023788,0.02705554496331717,0.0,0.004728132387706856,0.008008423802026977,0.04791635684237336
training,1234,1,market_only,naive,423,0.04018912529550828,0.018912529550827423,0.8427957289162388,0.17387487933241108,0.11852534280533045,0.08149646866099654,0.030444956180707812,12.90529803807264,24.603734566176932,1.4166290135668889,1.4824338953368723,0.024069693210517593,0.024069693210517593,0.0526466106976682,0.0,0.0,0.0057947826443695725,0.03153883102653119
training,1234,1,market_only,hybrid,423,0.822695035460994,0.7423167848699773,0.2866924017635279,0.05684040734811,0.10379853967565184,0.07064118393451907,0.030302945082506787,11.690130683365362,25.440838880120847,1.0012173798176895,1.0525950551281869,0.01832459314906385,0.01832459314906385,0.08643372632141919,0.0,0.004728132387706856,0.008180216030864485,0.046872783153763406
training,1234,1,market_and_assets,naive,423,0.02364066193853428,0.02127659574468085,0.9078903514810805,0.18643526315774733,0.10742786674112387,0.07507155258597989,0.030868810531618704,13.861134162392172,24.168625750392664,1.4028593338949322,1.5328965342794698,0.024414385612159875,0.024414385612159875,0.05809639683584071,0.0,0.0,0.005480257568686982,0.030126886936782133
training,1234,1,market_and_assets,hybrid,423,0.7115839243498827,0.5886524822695043,0.3528583872787738,0.06937099098553222,0.09639835655989376,0.06667664423063883,0.030701735046501522,12.824574527019793,24.95383066033193,1.0017347980435247,1.1026324552447284,0.019111994158833606,0.019088906603059168,0.07536868007683122,0.004728132387706856,0.004728132387706856,0.007738342487038651,0.044618116986234406
training,1234,2,off,naive,423,0.06382978723404259,0.03309692671394799,0.7146628137159253,0.14712754780245146,0.1355366808602919,0.09505577873042424,0.03137855513708069,14.345264407420652,25.187118465964094,1.3434194058651354,1.4090347083812305,0.025696596792385937,0.025696596792385937,0.08394740883003392,0.0,0.0,0.006585368772104365,0.03533022568883558
training,1234,2,off,hybrid,423,0.80614657210402,0.7825059101654857,0.26701948014523863,0.0527659205080822,0.13536152165272097,0.09519157947013197,0.03129569719421111,14.332768547621155,25.389546498489477,1.0012927261409588,1.0545508011647624,0.02094264929355287,0.02094264929355287,0.029729075159583004,0.0,0.004728132387706856,0.009181910021897105,0.049386419696107256
training,1234,2,market_only,naive,423,0.06146572104018916,0.026004728132387706,0.7369428571658503,0.15172665024869167,0.13495818771439677,0.09490000384633432,0.03144853541737097,13.589294578958963,25.91878118153948,1.3510264248428905,1.4170657517357435,0.02717445595436227,0.02717445595436227,0.07977194021742313,0.0,0.0,0.005762304511554525,0.033359315839585395
training,1234,2,market_only,hybrid,423,0.8416075650118214,0.7825059101654857,0.2745545820637855,0.05426638351543781,0.13481577381253776,0.095104482529599,0.031451435477927565,12.758890104879722,26.512576692403883,1.0004142031870558,1.0537528141436103,0.021835622047647833,0.021835622047647833,0.03284526203352086,0.0,0.004728132387706856,0.007932356596223291,0.04735568170746093
training,1234,2,market_and_assets,naive,423,0.07092198581560288,0.030732860520094562,0.8044091924965792,0.1651609268563281,0.11742426597817195,0.08316916015453181,0.032055243232814216,12.929565890472453,24.941748574268015,1.3316189760430832,1.4754234260612742,0.027134345468181668,0.027134345468181668,0.09012286638175289,0.0,0.0,0.0054537622498115395,0.032003781138409806
training,1234,2,market_and_assets,hybrid,423,0.7115839243498827,0.6052009456264783,0.3449614174036757,0.06843854862735456,0.11956071263857258,0.08460446648458744,0.03198943878134588,11.923905331348772,25.57021360051459,0.9997207085007032,1.1126822976796995,0.022409145146789485,0.022409145146789485,0.03334443490874353,0.0,0.004728132387706856,0.007292195504684542,0.04507964834729038
training,1234,3,off,naive,423,0.04728132387706857,0.03309692671394799,0.7348058238801376,0.151071926897422,0.13249024189345285,0.09294455851201118,0.030970205071148286,14.456785104845434,23.233778656833543,1.352501462684542,1.4157160562619944,0.028361627603958717,0.028361627603958717,0.07897024622143228,0.0,0.0,0.005309320027555134,0.031904637364553345
training,1234,3,off,hybrid,423,0.8747044917257695,0.7990543735224597,0.28070708247139287,0.055221475054779035,0.1301203551760452,0.09156829323169952,0.030738518139150055,13.442197883821224,23.981890405331605,1.0005851573748632,1.0520983111338529,0.02276102638059559,0.02276102638059559,0.03153552162986851,0.0,0.004728132387706856,0.007023823565107544,0.04497366707178867
training,1234,3,market_only,naive,423,0.06382978723404259,0.030732860520094562,0.7282015864146391,0.1496771488712914,0.13595503543020457,0.09438660116888103,0.031393294996123776,14.609269523458257,23.16004773684587,1.3378976096864166,1.4005273200392598,0.026628690217100383,0.026628690217100383,0.08635634196206236,0.0,0.0,0.006001617069139109,0.03370802842349431
training,1234,3,market_only,hybrid,423,0.7635933806146582,0.7044917257683224,0.28714893758186955,0.056595633141826474,0.13590376033779925,0.09406450145044327,0.03146522523811675,13.609846298416244,23.85723716751151,1.0001723910572078,1.0515991892558338,0.02193483850166822,0.02193483850166822,0.025544892592893494,0.0,0.004728132387706856,0.008391323894162313,0.04670611905115988
training,1234,3,market_and_assets,naive,423,0.05200945626477543,0.02364066193853428,0.8009349675589675,0.1645084148719906,0.12008047372833455,0.08376448479331637,0.03143116326937958,13.479834215840992,25.490796656599862,1.3244516802321395,1.4653950995915022,0.029073549345790164,0.029073549345790164,0.09395192047631949,0.0,0.0,0.005564016963841585,0.03222599994188121
training,1234,3,market_and_assets,hybrid,423,0.6241134751773058,0.5579196217494097,0.3604893393177708,0.07167369146440926,0.12159666044765943,0.0843751883177552,0.031414960725428,12.595342167041743,26.09098961304254,0.9997702906684421,1.115606516042433,0.02408405169046302,0.02408405169046302,0.03347272883842003,0.0,0.004728132387706856,0.007827230008427218,0.04435572786059702
training,1234,4,off,naive,423,0.07328605200945632,0.04491725768321514,0.697315867721362,0.14305977898930347,0.13659553067144414,0.09544611078209174,0.031106135459753343,14.474342538162226,23.942044785964615,1.3151362051990771,1.3862389330015548,0.029808304879053713,0.029808304879053713,0.0986489601911775,0.0,0.0,0.006052043643773,0.03506612718778685
training,1234,4,off,hybrid,423,0.7446808510638308,0.6761229314420812,0.28845423132102854,0.05679667632889257,0.13706244903274206,0.09574057124784272,0.030903666877977132,13.649817441456738,24.50686592027861,0.9991050958237555,1.0576932047903653,0.024710208128195507,0.024710208128195507,0.028539235137734625,0.0,0.004728132387706856,0.008305000435890731,0.047765077118471715
training,1234,4,market_only,naive,423,0.049645390070922,0.03309692671394799,0.7804271532951617,0.16028354892250185,0.12101380494431853,0.084148971305352,0.03199198991482758,13.642074589987434,24.442066468388994,1.3642101411158538,1.4375744971666924,0.024199934156266978,0.024199934156266978,0.07349621793154798,0.0,0.0,0.005911874860044887,0.03355247526106437
training,1234,4,market_only,hybrid,423,0.7328605200945636,0.6666666666666675,0.2974949537914431,0.05845089377493514,0.10980078322750357,0.07621219488649028,0.032355039494940854,12.605961526989226,25.16803444109811,0.999882061779909,1.058750379439289,0.01936546173790334,0.01936546173790334,0.04078435798920992,0.0,0.004728132387706856,0.008399870771218896,0.04776507711847163
training,1234,4,market_and_assets,naive,423,0.03309692671394799,0.018912529550827423,0.8444325538263692,0.1744420571795598,0.1063778153126223,0.07525350712127775,0.032262724384747275,11.896231315689448,25.838995260632334,1.3504664852008066,1.4918070523739613,0.026888448382764114,0.026888448382764114,0.08052304508043576,0.0,0.0,0.0055717091531925144,0.03215506086231152
training,1234,4,market_and_assets,hybrid,423,0.6052009456264783,0.5082742316784876,0.36017513527537526,0.07226662650078691,0.0983621992228746,0.06951126915582351,0.03248698568534962,11.00202624309175,26.448525323179002,1.0003861454560958,1.1122002997043057,0.021663697094241954,0.021663697094241954,0.03952687443990912,0.0,0.004728132387706856,0.007861417516653587,0.04535827653933527
training,1234,5,off,naive,423,0.08037825059101661,0.04491725768321514,0.670797095436683,0.1377071804185985,0.13563619357113796,0.09538765727000141,0.0308955330973269,15.335223259640983,25.466885378692673,1.307136932959191,1.3662261130649154,0.02626865989176661,0.02626865989176661,0.10288247537409285,0.0,0.0,0.006528104695825194,0.03614388838462316
training,1234,5,off,hybrid,423,0.7399527186761239,0.7115839243498827,0.27941966275594776,0.055227907560332974,0.13533240206621955,0.0956352421691981,0.03063555148611787,14.781964319544315,25.82125216444223,0.9993542527456523,1.048768026389236,0.02171766552261592,0.02171766552261592,0.031751703015040586,0.0,0.004728132387706856,0.008929777148727627,0.04874369454145147
training,1234,5,market_only,naive,423,0.07092198581560288,0.04728132387706857,0.6905210572830427,0.14172055401455125,0.13513919153873535,0.09515702046909257,0.030879578446462344,14.892593585045974,25.857029853995552,1.3040214156295984,1.3629694660205423,0.029126561556229388,0.029126561556229388,0.10466672517248396,0.0,0.0,0.006493917187598823,0.035789192986774576
