window,seed,ticker,scenario,method,n_paths,median_variance_ratio_generator,median_variance_ratio_observed,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,1234,A,off,naive,250,1.4715966577372455,1.4902756496349499,0.0,0.0,0.7252027654476273,0.1740793765000658,0.10531172002088654,0.06892875345894894,0.02691303453076882,3.985139410366595,1.2338520783311075,1.478560392090948,1.49325860259483,0.02312317447907765,0.02312317447907765,0.14045600387279086,0.0,0.0,0.004248734634851771,0.03193781634128707
training,1234,A,off,hybrid,250,1.0009698242416558,1.011325611091137,0.972,0.968,0.168495393719176,0.04044603037836262,0.10466231559796525,0.06872282728720426,0.026995788634678705,4.787664642581488,1.2796036062185847,0.999415705239019,1.01072642385775,0.016723622612018495,0.016723622612018495,0.047231619804573105,0.0,0.0,0.006948662328271873,0.05586261749819239
training,1234,A,market_only,naive,250,1.4980839512705484,1.5227716326103573,0.0,0.0,0.7558627396454374,0.18143906877670612,0.09967964022780708,0.06489568116178679,0.026193045822650855,4.079934668554522,1.2477335737875495,1.5081719884724618,1.5231096855461213,0.022419875421569833,0.022419875421569833,0.12776326098446503,0.0,0.0,0.004063629790310918,0.03125958062183659
training,1234,A,market_only,hybrid,250,1.0035354407731947,1.0169578604268779,0.968,0.972,0.16876450940111037,0.040510629539245016,0.09367385333029024,0.06152137081063315,0.02620492706263587,5.209607508240313,1.5081360789010714,1.0026618052007072,1.013991927997522,0.01586135123190222,0.01586135123190222,0.06283507838679887,0.0,0.0,0.006893709327548806,0.0562313810556761
training,1234,A,market_and_assets,naive,250,1.4758709518077326,1.550320296495064,0.0,0.0,0.8068442112626989,0.19367678106219477,0.08749846440214556,0.058513086112985314,0.026489690241717233,4.1271660292196515,1.4271795630659536,1.486165589120662,1.5688571233686293,0.022929206149815463,0.022929206149815463,0.1381007219387478,0.0,0.0,0.003881417208966017,0.030248734634851792
training,1234,A,market_and_assets,hybrid,250,0.9998543230272046,1.0253638004592571,0.892,0.836,0.2128818805328766,0.05110066700924762,0.0835359170254463,0.055851441885297885,0.026399489865071003,5.094124383069694,1.6092955793535226,1.0004656670257592,1.060653329640675,0.016419968671358334,0.016419968671358334,0.06836642785079437,0.0,0.0,0.0065379609544468555,0.053417208966015935
training,1234,AAL,off,naive,250,1.2384725537693821,1.2985541267076819,0.016,0.0,0.9233197237532965,0.11806295131138676,0.16421141776081855,0.13728094820709685,0.028852605028935694,9.467486103935853,7.046955610020803,1.2424235052747796,1.3016711985139613,0.039155565226716815,0.039155565226716815,0.04826519230871717,0.0,0.0,0.006446854663774403,0.03581923355025305
training,1234,AAL,off,hybrid,250,0.999809540872183,1.043387871176276,0.868,0.812,0.4204421859515986,0.05376105811698187,0.16426723750160188,0.13729638054272192,0.029061355817743308,8.801779739366445,7.460820335162075,0.9997837095227496,1.049039450006081,0.034142565273334945,0.034142565273334945,0.02864893160216606,0.0,0.0,0.008481561822125809,0.04494577006507588
training,1234,AAL,market_only,naive,250,1.248659351669505,1.3074672200961457,0.012,0.0,0.9606077402897241,0.1228308915682493,0.1615459954165412,0.13530238010594722,0.02886169036467353,9.416954378161428,7.1945597200259455,1.2545052500875824,1.3144824909694348,0.04249686723804457,0.04249686723804457,0.0438126590052206,0.0,0.0,0.006336948662328264,0.03515690527838032
training,1234,AAL,market_only,hybrid,250,0.9999880519367912,1.0423984050757866,0.828,0.784,0.4233874121043527,0.05413765799124875,0.160032291498971,0.13415179040814215,0.02910172482141912,8.73455854292943,7.713076822640519,0.9992442652657471,1.0486434503338788,0.03676333392589331,0.03676333392589331,0.034129919562892616,0.0,0.0,0.008500361532899485,0.044627621113521296
training,1234,AAL,market_and_assets,naive,250,1.2391887444789114,1.3570212595963431,0.012,0.0,1.0758049971735064,0.13756092254320662,0.1380989759051176,0.11722061289385417,0.02934688732132652,8.436157022164783,6.7787812369655605,1.2430455831446805,1.3679116963043807,0.04452302016831077,0.04452302016831077,0.04901993306990833,0.0,0.0,0.0061634128705712185,0.03323065798987706
training,1234,AAL,market_and_assets,hybrid,250,0.9994196837346558,1.085074401464123,0.696,0.596,0.5353050360315506,0.0684483291971996,0.13823981665685464,0.11736232076277453,0.029509020991725525,7.871097734240977,7.233222954233931,0.9990766399236791,1.102152913841274,0.03874550826142762,0.03874550826142762,0.032533544688315034,0.0,0.0,0.00819812002892263,0.0424309472161966
training,1234,AAP,off,naive,250,1.1746920146210131,1.2668029846793973,0.072,0.0,0.6063937213518911,0.1019740859773814,0.0701684623655587,0.055317788926124795,0.021258011804202854,26.78567937072661,26.005800839211943,1.176665896423189,1.2671306549568981,0.033544069459263796,0.033544069459263796,0.03326741882167042,0.0,0.0,0.007706435285610985,0.03837165582067963
training,1234,AAP,off,hybrid,250,0.999394625420784,1.0744690778810468,0.732,0.684,0.33624829160956615,0.05654513064861343,0.07011476023177847,0.055289878522648904,0.021272581887604433,25.37439138870288,26.997357959772202,0.9998063294778802,1.079356909291037,0.030515199926352574,0.030515199926352574,0.025567554355895677,0.0,0.0,0.008738973246565432,0.04597541576283445
training,1234,AAP,market_only,naive,250,1.1787359308042382,1.2710797098620765,0.036,0.008,0.625024743540914,0.10510716831588982,0.06814524021686774,0.053918032131166485,0.021169994966834547,26.290764002424176,26.057327173040935,1.18481554563766,1.2757727229690496,0.033542914072628494,0.033542914072628494,0.03199498042041163,0.0,0.0,0.007689081706435278,0.038115690527837996
training,1234,AAP,market_only,hybrid,250,0.9992320390972592,1.0683799360647148,0.724,0.676,0.3400680968877116,0.057187487484007406,0.06738985112275421,0.05338960119199721,0.02119003353506861,24.747554915776675,27.212757276388576,0.9989122369544471,1.0781866362213772,0.030316672488777032,0.030316672488777032,0.02954575823473084,0.0,0.0,0.008831525668835865,0.04599132321041212
training,1234,AAP,market_and_assets,naive,250,1.1703772171431646,1.3171629073702111,0.016,0.0,0.7135913384178738,0.12000095306777042,0.05922293937660638,0.047842951856340056,0.021977754888418376,31.171712054032096,30.595339047323268,1.1757820054647883,1.3530811774323914,0.03344587429746655,0.03344587429746655,0.03646181882134495,0.0,0.0,0.0072581344902386095,0.03634417932031814
training,1234,AAP,market_and_assets,hybrid,250,0.9995333600893248,1.1149705191296202,0.612,0.528,0.43241531625150137,0.07271704024088782,0.05852159993508395,0.04734269535267023,0.021954116260993365,29.65888307601632,31.453674124759267,0.9994722003845226,1.1554159911507642,0.030472103086692435,0.030472103086692435,0.03175865621245031,0.0,0.0,0.00824295010845987,0.043467823571945056
training,1234,AAPL,off,naive,250,1.5431585284159923,1.5762359114502305,0.0,0.0,0.9059353936806303,0.2044027074780334,0.129284780296613,0.08516965931125287,0.03442986695051988,4.45577627620959,1.7148685004133108,1.5489029263269083,1.5814865038410206,0.022526649549550817,0.022526649549550817,0.18497900108789284,0.0,0.0,0.0040173535791757035,0.028872017353579225
training,1234,AAPL,off,hybrid,250,0.9987512309412712,1.0144939262405595,0.844,0.832,0.21882164736476375,0.04937188400868359,0.1279115430257973,0.08460054522103809,0.034462517969232505,5.6516452846025445,1.6704815733517768,0.9987490426303129,1.0210926248076186,0.015126590884549117,0.015126590884549117,0.05046019721133184,0.0,0.0,0.007927693420101235,0.051522776572668176
training,1234,AAPL,market_only,naive,250,1.5726712554152273,1.603166742182578,0.0,0.0,0.9415468606197805,0.21243758536270624,0.12319086870924661,0.08066594241079643,0.034112103305079404,4.61950757359816,1.8021514283759517,1.5817272137129679,1.6147682616780217,0.024956593270270708,0.024956593270270708,0.1724034164026498,0.0,0.0,0.003865509761388283,0.028520607375271213
training,1234,AAPL,market_only,hybrid,250,1.0007108167939518,1.0235097963054078,0.872,0.856,0.21023490691511734,0.04743449089151213,0.11416154383263967,0.07528320813406032,0.034043849004258546,6.2263891033481755,1.9698832365685208,1.0011462356987546,1.0233943014047642,0.01626275088859748,0.01626275088859748,0.07214102560802962,0.0,0.0,0.007930585683297183,0.052292118582791064
