window,seed,ticker,enabled,n_paths,jump_active_rate,forced_fraction,abs_acf_mae25
training,1234,A,false,250,0.0,0.0,0.10415011165769511
training,1234,A,true,250,0.192,0.007806218365871296,0.09371179199415319
training,1234,AAL,false,250,0.0,0.0,0.16353051736395074
training,1234,AAL,true,250,0.296,0.010180766449746925,0.1346204164827846
training,1234,AAP,false,250,0.0,0.0,0.07004208828595396
training,1234,AAP,true,250,0.244,0.00897758496023138,0.06245731716257356
training,1234,AAPL,false,250,0.0,0.0,0.1291147504937649
training,1234,AAPL,true,250,0.244,0.008812725958062186,0.10714761357229098
training,1234,ABBV,false,250,0.0,0.0,0.08052327277938089
training,1234,ABBV,true,250,0.3,0.011543022415039768,0.07130430193385033
training,1234,ABT,false,250,0.0,0.0,0.13319070350325585
training,1234,ABT,true,250,0.236,0.008403470715835139,0.11206037162683025
training,1234,ACN,false,250,0.0,0.0,0.1704293720868448
training,1234,ACN,true,250,0.216,0.008080983369486622,0.14663345782362067
training,1234,ADBE,false,250,0.0,0.0,0.1020361916086424
training,1234,ADBE,true,250,0.276,0.009728127259580626,0.08560631717364625
training,1234,ADI,false,250,0.0,0.0,0.12859305962895137
training,1234,ADI,true,250,0.256,0.008746203904555317,0.10551332237492701
training,1234,ADM,false,250,0.0,0.0,0.10036407225813511
training,1234,ADM,true,250,0.256,0.009757049891540132,0.08445163624554684
training,1234,ADP,false,250,0.0,0.0,0.15098037128727507
training,1234,ADP,true,250,0.212,0.007561822125813449,0.13154527729764562
training,1234,ADSK,false,250,0.0,0.0,0.10084501140713288
training,1234,ADSK,true,250,0.24,0.008957339117859727,0.08704371528099306
training,1234,AEE,false,250,0.0,0.0,0.17985814916441467
training,1234,AEE,true,250,0.252,0.009340563991323209,0.1536563570493787
training,1234,AEP,false,250,0.0,0.0,0.16072460937206887
training,1234,AEP,true,250,0.232,0.008368763557483732,0.1356582809963988
training,1234,AES,false,250,0.0,0.0,0.14705534504750897
training,1234,AES,true,250,0.232,0.00819522776572668,0.12330720953199034
training,1234,AFL,false,250,0.0,0.0,0.21330854664198234
training,1234,AFL,true,250,0.252,0.009615328994938539,0.19126488117041623
training,1234,AIG,false,250,0.0,0.0,0.26105869074935184
training,1234,AIG,true,250,0.22,0.007580621836587131,0.24151716423413086
training,1234,AIZ,false,250,0.0,0.0,0.12320121702015131
training,1234,AIZ,true,250,0.256,0.009041214750542296,0.10179942665722821
training,1234,AJG,false,250,0.0,0.0,0.18129449172489207
training,1234,AJG,true,250,0.24,0.00905422993492408,0.1553112622857381
training,1234,AKAM,false,250,0.0,0.0,0.05111442174275798
training,1234,AKAM,true,250,0.24,0.009130874909616777,0.05426930410470713
training,1234,ALB,false,250,0.0,0.0,0.1224970318667799
training,1234,ALB,true,250,0.24,0.008409255242227043,0.10139978415847059
training,1234,ALGN,false,250,0.0,0.0,0.08461164721254155
training,1234,ALGN,true,250,0.224,0.008128705712219813,0.0747535603759986
training,1234,ALK,false,250,0.0,0.0,0.09854473449868334
training,1234,ALK,true,250,0.236,0.008666666666666668,0.08244365346752919
training,1234,ALL,false,250,0.0,0.0,0.18299010778464098
training,1234,ALL,true,250,0.228,0.008513376717281276,0.1589716039907704
training,1234,ALLE,false,250,0.0,0.0,0.13273443813505942
training,1234,ALLE,true,250,0.252,0.00864063629790311,0.10995817843938772
training,1234,AMAT,false,250,0.0,0.0,0.1439596037875115
training,1234,AMAT,true,250,0.236,0.008280549530007232,0.11941836103923353
training,1234,AMD,false,250,0.0,0.0,0.047590933401574685
training,1234,AMD,true,250,0.268,0.009939262472885034,0.05505181831301793
training,1234,AME,false,250,0.0,0.0,0.1506620774843298
training,1234,AME,true,250,0.2,0.0076731742588575565,0.1328580638172852
training,1234,AMGN,false,250,0.0,0.0,0.08864956416820813
training,1234,AMGN,true,250,0.248,0.00909182935647144,0.07823857192476613
training,1234,AMP,false,250,0.0,0.0,0.20746032607404694
training,1234,AMP,true,250,0.268,0.008990600144613158,0.18063065414736532
training,1234,AMT,false,250,0.0,0.0,0.1685411941135947
training,1234,AMT,true,250,0.236,0.008368763557483732,0.14272908317260824
training,1234,AMZN,false,250,0.0,0.0,0.0943699894620178
training,1234,AMZN,true,250,0.248,0.009130874909616775,0.08151533037734937
training,1234,ANSS,false,250,0.0,0.0,0.1635907325824093
training,1234,ANSS,true,250,0.292,0.010611713665943602,0.13241926585424377
training,1234,AON,false,250,0.0,0.0,0.12550696376395654
training,1234,AON,true,250,0.212,0.007156905278380332,0.10649441653122264
training,1234,AOS,false,250,0.0,0.0,0.08140211193644632
training,1234,AOS,true,250,0.256,0.009473608098336951,0.07568940259136771
training,1234,APA,false,250,0.0,0.0,0.15786982359582272
training,1234,APA,true,250,0.236,0.008851771511207519,0.13775298702831618
training,1234,APD,false,250,0.0,0.0,0.12406296555736238
training,1234,APD,true,250,0.244,0.008765003615328995,0.10494228593110848
training,1234,APH,false,250,0.0,0.0,0.15988383134382994
training,1234,APH,true,250,0.264,0.010099783080260305,0.1320931874952135
training,1234,ARE,false,250,0.0,0.0,0.1480857275041157
training,1234,ARE,true,250,0.292,0.011622559652928419,0.11770864231349006
training,1234,ATO,false,250,0.0,0.0,0.1863058549647525
training,1234,ATO,true,250,0.256,0.008848879248011568,0.15789768552349787
training,1234,AVB,false,250,0.0,0.0,0.22851304598678948
training,1234,AVB,true,250,0.248,0.008973246565437453,0.19949236073169824
training,1234,AVGO,false,250,0.0,0.0,0.0910539538451097
training,1234,AVGO,true,250,0.24,0.008591467823571943,0.0822292581551961
training,1234,AVY,false,250,0.0,0.0,0.1509346163945008
training,1234,AVY,true,250,0.24,0.0089472161966739,0.1267554048918798
training,1234,AWK,false,250,0.0,0.0,0.18686921200909712
training,1234,AWK,true,250,0.248,0.00924656543745481,0.15987573884177034
training,1234,AXP,false,250,0.0,0.0,0.20999569056780554
training,1234,AXP,true,250,0.22,0.007960954446854667,0.18795241554777925
training,1234,AZO,false,250,0.0,0.0,0.1160161773037556
training,1234,AZO,true,250,0.2,0.0071250903832248726,0.10298160629456726
training,1234,BA,false,250,0.0,0.0,0.2324184633375168
training,1234,BA,true,250,0.244,0.008741865509761387,0.21009301588219903
training,1234,BAC,false,250,0.0,0.0,0.16539489892497716
training,1234,BAC,true,250,0.24,0.009162689804772235,0.14027291416755844
training,1234,BAX,false,250,0.0,0.0,0.055813005261455786
training,1234,BAX,true,250,0.204,0.007248011569052785,0.05072966395581722
training,1234,BBY,false,250,0.0,0.0,0.06182390170453087
training,1234,BBY,true,250,0.276,0.010863340563991322,0.062274641398256926
training,1234,BDX,false,250,0.0,0.0,0.09545708658068046
training,1234,BDX,true,250,0.256,0.008928416485900217,0.08290777758963572
training,1234,BEN,false,250,0.0,0.0,0.1295656208696894
training,1234,BEN,true,250,0.268,0.009994215473608098,0.10542082785337345
training,1234,BF.B,false,250,0.0,0.0,0.04342614639145721
training,1234,BF.B,true,250,0.208,0.007262472885032539,0.041191621565732715
training,1234,BIO,false,250,0.0,0.0,0.09468726423728521
training,1234,BIO,true,250,0.268,0.009982646420824292,0.0799511674067893
training,1234,BK,false,250,0.0,0.0,0.13615005674821917
training,1234,BK,true,250,0.232,0.007848156182212582,0.11378382645527473
training,1234,BLK,false,250,0.0,0.0,0.1918336890609587
training,1234,BLK,true,250,0.228,0.008516268980477222,0.16659708908160625
training,1234,BMY,false,250,0.0,0.0,0.04052400539134489
training,1234,BMY,true,250,0.256,0.009165582067968185,0.0494914767046436
training,1234,BR,false,250,0.0,0.0,0.11695961881442445
training,1234,BR,true,250,0.224,0.007989877078814175,0.09932850379264357
training,1234,BRK.B,false,250,0.0,0.0,0.14586339288949637
training,1234,BRK.B,true,250,0.228,0.008679681851048449,0.1245788905828526
training,1234,BRO,false,250,0.0,0.0,0.17981259229798296
training,1234,BRO,true,250,0.208,0.007885755603759943,0.15635865042425212
training,1234,BSX,false,250,0.0,0.0,0.12949429026140163
training,1234,BSX,true,250,0.192,0.007586406362979032,0.11197083440785369
training,1234,BWA,false,250,0.0,0.0,0.08501700673341558
training,1234,BWA,true,250,0.212,0.007430224150397688,0.07932436959211484
training,1234,BXP,false,250,0.0,0.0,0.20948359133106675
