beta_true,r2_true,rep,beta_hat,r2_hat,ks_p,kurt,flag,beta_eff,var_g
0.8,0.8,1,0.8002980256902738,0.8044118634023762,0.6222589308962223,8.807007711274466,R2_PRESERVE,0.8,5.982407586265317
0.8,0.8,2,0.7865488024771106,0.7929077258313713,0.9345394905034377,8.85629195381652,R2_PRESERVE,0.8,5.862457041013955
0.8,0.8,3,0.805000020531075,0.7953431233822073,0.9345394905034377,8.43909195114462,R2_PRESERVE,0.8,6.121928131156424
0.8,0.8,4,0.8007960008124873,0.7952593098406473,0.4297261921140966,8.503162287050284,R2_PRESERVE,0.8,6.058791447429223
0.8,0.8,5,0.8028960242255665,0.795746471843102,0.3058498487511271,9.729910577063023,R2_PRESERVE,0.8,6.086881787691491
0.8,0.8,6,0.813580555116697,0.8073416929703773,0.667584748786672,9.40066331514743,R2_PRESERVE,0.8,6.160198602626558
0.8,0.8,7,0.7858586433960274,0.7987924414179665,0.7126714552657516,8.939788164117351,R2_PRESERVE,0.8,5.809060453758865
0.8,0.8,8,0.8041275218315527,0.8011340579490461,0.891846363130047,9.060587851758317,R2_PRESERVE,0.8,6.064508824313213
0.8,0.8,9,0.8008329853925098,0.8001343410798032,0.41040886465000037,8.434037220958496,R2_PRESERVE,0.8,6.022432900258886
0.8,0.8,10,0.8156574154957879,0.8043765933763976,0.26113474774358525,10.193324609955953,R2_PRESERVE,0.8,6.214513384343454
0.8,0.8,11,0.7922900185230445,0.7931816708888554,0.7782544694527632,8.384705060565993,R2_PRESERVE,0.8,5.946298049993631
0.8,0.8,12,0.799088852725034,0.7963044200761605,0.8194258416202166,9.289327779997377,R2_PRESERVE,0.8,6.025068553134826
0.8,0.8,13,0.7994104910675126,0.8015272846146022,0.19757624487656467,8.45157342550584,R2_PRESERVE,0.8,5.990627980481519
0.8,0.8,14,0.7995407092323792,0.800194166122061,0.9345394905034377,8.710742611716055,R2_PRESERVE,0.8,6.002563399632024
0.8,0.8,15,0.8028212410393298,0.8026056430490698,0.9073133476228828,9.412340598856538,R2_PRESERVE,0.8,6.033738368267143
0.8,0.8,16,0.7991160460576164,0.797630579025791,0.6902009153490102,9.29635161560886,R2_PRESERVE,0.8,6.015460532004388
0.8,0.8,17,0.808394481520654,0.8048945113114235,0.9073133476228827,8.65551841408461,R2_PRESERVE,0.8,6.100405288046255
0.8,0.8,18,0.8063255321589993,0.8021403879298884,0.44954451693235176,8.414570180629795,R2_PRESERVE,0.8,6.090057800012477
0.8,0.8,19,0.7965995149602879,0.7991776624982566,0.9850359268412626,7.758325453815637,R2_PRESERVE,0.8,5.966061324590235
0.8,0.8,20,0.8018829331523507,0.8033915542911787,0.8918463631300468,8.138593042994135,R2_PRESERVE,0.8,6.0137539218933185
0.8,0.8,21,0.8009550131263237,0.7970478571213053,0.9565364596313503,9.647764615761073,R2_PRESERVE,0.8,6.047596734104609
0.8,0.8,22,0.8037102412085891,0.804452917583489,0.7126714552657516,8.3117461828795,R2_PRESERVE,0.8,6.033222582727834
0.8,0.8,23,0.8080092723732547,0.7985439999156824,0.4297261921140966,9.48499433778983,R2_PRESERVE,0.8,6.143060786802675
0.8,0.8,24,0.8018213150302156,0.8044807523483188,0.8918463631300468,9.27213638103791,R2_PRESERVE,0.8,6.004688885499627
0.8,0.8,25,0.7967710908597707,0.8020690320085979,0.6902009153490102,9.096939200308142,R2_PRESERVE,0.8,5.947115354247083
