beta_true,r2_true,median_beta_hat,sd_beta_hat,median_r2_hat,sd_r2_hat,ks_pass_pct,flags
0.8,0.8,0.800621656878433,0.007227241999738636,0.7998020687420739,0.004428110068052262,99.0,R2_PRESERVE
0.8,0.85,0.8006283230557352,0.005945330356643168,0.8496970193447216,0.004059227514089759,100.0,R2_PRESERVE
0.8,0.9,0.8003662351876847,0.004839025355690292,0.8998512455091984,0.0028404809841590787,100.0,R2_PRESERVE
0.8,0.95,0.7995452567877701,0.0033196503832581825,0.9500083860541231,0.0012925040523592223,100.0,R2_PRESERVE
0.8,0.99,0.7999039544761261,0.0015728311716054486,0.9900596202334605,0.00029791269829489457,100.0,R2_PRESERVE
1.0,0.8,1.0003333379464172,0.008897836323570923,0.8017322960613968,0.0052271746985664905,100.0,R2_PRESERVE
1.0,0.85,0.9994073455788534,0.008385000902551483,0.849696900596693,0.0039167726055895835,99.0,R2_PRESERVE
1.0,0.9,0.9998542257236354,0.0065235662630329285,0.8998608256225784,0.0026336366138681433,100.0,R2_PRESERVE
1.0,0.95,1.0005098996998516,0.0036482198300980266,0.9501747062537418,0.0013214913628668554,100.0,R2_PRESERVE
1.0,0.99,1.0000273813655982,0.0017831970766463438,0.9899886633793268,0.0002753133820912014,100.0,R2_PRESERVE
1.2,0.8,1.200713515578556,0.012630013781336756,0.8000948357488398,0.004815867563533907,99.0,R2_PRESERVE
1.2,0.85,1.201112206075357,0.010502876071341972,0.8503125353185597,0.0043027091803756684,100.0,R2_PRESERVE
1.2,0.9,1.199633047761759,0.008051535151589368,0.8994165223196318,0.0026952196342441646,100.0,R2_PRESERVE
1.2,0.95,1.1995328910183205,0.0052478156638967365,0.9497859734781273,0.001407333370882539,100.0,R2_PRESERVE
1.2,0.99,1.1998191815898722,0.0024518285408565367,0.9900161644338041,0.00025155419551669335,100.0,R2_PRESERVE
