ticker,alpha,beta,r2_real,sigma_eps_real
A,-0.0009783502736822741,1.0342691045106978,0.46312030204977395,3.052464485550821
AAL,-0.187343669188877,1.4046551359221418,0.2423892987714369,6.807090550030993
AAP,-0.1769687612966937,0.9208462340598758,0.18017538462902183,5.384251672096543
AAPL,0.10753648980896363,1.186349755430763,0.5383383240666935,3.0114280763158896
ABBV,0.03641822013426185,0.7069963253106589,0.20737250404703356,3.788799511292116
ABT,0.007504028440401725,0.8515440481221053,0.40786141005059307,2.8124705232962004
ACN,0.020364938277887004,1.064855756083169,0.5757262452348956,2.5057130791222257
ADBE,0.04727314854761089,1.2864775872755791,0.4611152006207472,3.8121585847834587
ADI,-0.0020549617650244822,1.2683483898174386,0.5128963551619159,3.388128960976102
ADM,-0.073072402123979,0.8233023668836376,0.2864656841876829,3.5616888833257576
ADP,0.011033766882536114,1.0020890826503122,0.5296776448709457,2.588354798434409
ADSK,0.016113487732761528,1.3929806946661605,0.456323911648035,4.167773296314553
AEE,0.02263129707147824,0.5796768327006427,0.21113493259389893,3.0713743040030073
AEP,0.009766553411370192,0.5032257298474412,0.17658135617254334,2.9786964627654533
AES,-0.1179319432612988,1.0270494624820092,0.29014540880116424,4.403456325521646
AFL,0.0057309810704514325,0.9250479414210647,0.41711328544880855,2.997469655340389
AIG,-0.09282883060036842,1.1818380340857169,0.42420082134252945,3.774272194703085
AIZ,0.01888212135183591,0.8326193337287526,0.3046895025889407,3.4477250597827562
AJG,0.07764668576896581,0.8278108551126079,0.45980505122064685,2.4594896240527038
AKAM,-0.026337345848948035,0.8684561506387591,0.2300875012628486,4.354592835207383
ALB,-0.11340881342817268,1.3334882032434865,0.2872428616457363,5.757856416124279
ALGN,-0.04055392632368339,1.4932914214894322,0.31821444755100103,5.991478533249222
ALK,-0.147272472405949,1.2673522553886114,0.24088995673561475,6.16688501879679
ALL,0.033137366067478205,0.7911569886388368,0.3375457306197679,3.0380841435451176
ALLE,-0.009197292309670688,1.0221741009323453,0.4644448847198742,3.008744809228187
AMAT,0.034070479793351316,1.5926012675540728,0.4901009719426386,4.452786316988344
AMD,0.1368518407128691,1.6363122955845268,0.2504144073791178,7.760195104504479
AME,0.00046099458263355875,1.0603073910021872,0.5888816770135121,2.4284360523777275
AMGN,-0.008227169822620256,0.7840729185909857,0.2993866996178969,3.287796119505893
AMP,-0.01936273395585958,1.5066645104432785,0.6287015813378296,3.1738128870196465
AMT,-0.006117892363008193,0.7735339022083335,0.28953454154959546,3.32143786640844
AMZN,0.09478919289032067,1.170904819492703,0.38256886202212137,4.077430199089716
ANSS,-0.005146055569270211,1.2260535842269653,0.5328431560260811,3.1467815878452403
AON,0.04947332407471047,0.7957501718162363,0.3790824875845742,2.791594421583968
AOS,-0.011878686157240567,0.9187689278977066,0.35572471138279016,3.389303855966554
APA,-0.2854820211515078,1.5661364466685423,0.21556436338389962,8.189271288965205
APD,-0.010260800873866702,0.919744349092632,0.4021042276624388,3.0742277402695883
APH,0.052078040440727225,1.0908578677446603,0.6279344351565515,2.3016868910472397
ARE,-0.05407110893711102,0.866174909679336,0.3592329176533111,3.1709772071766262
ATO,0.04151918069703712,0.5837410507168507,0.22995692706024573,2.92806008036044
AVB,-0.027537476931487122,0.7816065561514157,0.3240024894653387,3.094653687190025
AVGO,0.1957933798908254,1.4014349705793363,0.4308037864785177,4.415599575468211
AVY,0.014536818755701453,1.0040045132040778,0.4456387865827254,3.0694889841407313
AWK,0.03328181866854846,0.6304220209718564,0.23668055118675835,3.10333557601448
AXP,-0.01909680236039088,1.2070409201068892,0.49145916120511735,3.3656324060158993
AZO,0.09880965670745943,0.7063466213476163,0.23404972852490968,3.502592196182312
BA,-0.12212200670294408,1.3670698713762444,0.3667800554315451,4.9236892578558376
BAC,-0.04155811445158472,1.2376034989831342,0.4964539820489712,3.4165446395656094
BAX,-0.1526145037120718,0.6950710335593084,0.15623215358684872,4.427728199541432
BBY,-0.04909801046514792,1.1035487889894897,0.2500709659881156,5.238361596430424
BDX,0.00032812497576995003,0.6234241355668664,0.24964319855967598,2.962669056534684
BEN,-0.22236806058533565,1.2076507373337153,0.4392326358676507,3.7403384561589528
