ticker,composer,cov_norm_mean,cov_norm_sd
A,jumphmm_full,-0.002884330568659543,0.019450561781941014
A,jumphmm_residual,-0.0007945070236459547,0.01810075189705421
A,gaussian,0.0020435450711359274,0.020003024325689133
AAL,jumphmm_full,-0.003275197571089734,0.016795014819955635
AAL,jumphmm_residual,-0.00025043965716414307,0.020351700298548672
AAL,gaussian,0.0016215036119895268,0.01916677417932506
AAP,jumphmm_full,0.0031234936798571677,0.021377345487900934
AAP,jumphmm_residual,-0.0009225400589201034,0.018127969729202963
AAP,gaussian,0.0016578828542807467,0.021562861006234158
AAPL,jumphmm_full,0.0017207603778872699,0.019251185183906436
AAPL,jumphmm_residual,-0.0009883760059917728,0.02005789716587375
AAPL,gaussian,-0.003075266599554239,0.01781496269708727
ABBV,jumphmm_full,0.0007812452540386859,0.019908484450960582
ABBV,jumphmm_residual,0.0036999592787845498,0.018492199024577615
ABBV,gaussian,-0.0021936791698894246,0.018588869118008576
ABT,jumphmm_full,-0.002009102991073959,0.017272919075590917
ABT,jumphmm_residual,-0.0005160624930154981,0.018918979673068537
ABT,gaussian,-0.0013074876574511174,0.017278337842707624
ACN,jumphmm_full,0.0036812855927300593,0.021611770738469552
ACN,jumphmm_residual,-0.0003869957602702892,0.017916043397196935
ACN,gaussian,0.0033258468433524486,0.019295244762445506
ADBE,jumphmm_full,-0.0016291323950329275,0.018013846387023715
ADBE,jumphmm_residual,-0.00038700612891679387,0.01967431995181456
ADBE,gaussian,0.0005959370337115883,0.019043156370853298
ADI,jumphmm_full,0.00028566202532440404,0.022473042085350503
ADI,jumphmm_residual,-0.001176968111419234,0.02117840881252961
ADI,gaussian,0.0027629783082701383,0.02199442231393952
ADM,jumphmm_full,-0.002212027270202872,0.01795596439658193
ADM,jumphmm_residual,-0.0008803416476197174,0.018043512124531525
ADM,gaussian,-0.00030619112207407056,0.01672731775642258
ADP,jumphmm_full,-0.0054801490186627225,0.018128268449789386
ADP,jumphmm_residual,0.0003499467086613422,0.01889030258764515
ADP,gaussian,0.0022135175943862858,0.02049763287584615
ADSK,jumphmm_full,0.0031107350870048685,0.01915724452004486
ADSK,jumphmm_residual,0.0019990630900163417,0.020030581006032135
ADSK,gaussian,-0.0009406263772132595,0.019474514924628834
AEE,jumphmm_full,0.0007704214651327599,0.018293729302656863
AEE,jumphmm_residual,-0.0015218546891618478,0.019013962323697977
AEE,gaussian,0.001607743690129819,0.020022708720804
AEP,jumphmm_full,0.0008190941727956789,0.015651214027043007
AEP,jumphmm_residual,0.0010412754750072696,0.016363857755082298
AEP,gaussian,0.0019128985272458888,0.01903445997052838
AES,jumphmm_full,0.0015844497575397776,0.017542999056839353
AES,jumphmm_residual,-0.0008035235482612433,0.017402149129097537
AES,gaussian,0.0017268849279509957,0.017631547228442172
AFL,jumphmm_full,-0.00013013583021055086,0.018438667498365112
AFL,jumphmm_residual,-0.00045771015952981124,0.01999000695822885
AFL,gaussian,0.0008925711396723405,0.018659001757232802
AIG,jumphmm_full,0.00027724452822780894,0.014452780466018519
AIG,jumphmm_residual,-0.002464388575092907,0.019046229630689974
AIG,gaussian,0.0006178130933527512,0.01893767356924401
AIZ,jumphmm_full,-0.0008236455867510799,0.020934435616943546
AIZ,jumphmm_residual,0.0015440904956351717,0.020888483868681848
AIZ,gaussian,-0.001843545672721601,0.01696171255950875
AJG,jumphmm_full,-0.0004891514635913208,0.020584414218261557
AJG,jumphmm_residual,0.001737036472146461,0.018617435807666477
